name,twt_handle,tweet_body,post_date,reply_cnt,rt_cnt,like_cnt
NFT Sentiment Updates,@NFTSentimentX,"New big  #NFT  Sale   Mutant   Ape   Yacht Club  #27300 bought for Ξ53.5353ETH ($170,346.65)
Floor Price: Ξ23.16ETH",2022-03-27T18:54:06.000Z,,,5
Albertşıtayn,@AlbertsTayn,Mutant   Ape   yacht club  nft,2022-03-27T18:53:25.000Z,1,,2
rich DAD of SPOOKY,@serkan76911,Mutant   Ape   yacht Club  yemedi almaya,2022-03-27T18:52:43.000Z,,,
CryptoNerd,@VeryCryptoNerd,#NFT  Time! On this image you can see  Mutant   Ape   Yacht Club  stats. #mutant_ape_yacht_club    #opensea,2022-03-27T18:51:01.000Z,,1,2
Trengible - Discover the nft trends,@Trengible," - Kikkydina just bought #27300 for 53.5353 ETH ($170,154.99)

Collection:  Mutant   Ape   Yacht Club Date: 2022-03-27 18:49:27 (GMT 0)

Detail:  https:// ht-club/27300-0x60e4d786628fea6478f785a6d7e704777c86a7c6-27300 …",2022-03-27T18:50:22.000Z,,,1
NFT Monitor,@NFT_Monitor,  Mutant   Ape   Yacht Club  |  #MAYC   #NFT #9343 sold for 45 ETH (143.03K $)   https:// 786628fea6478f785a6d7e704777c86a7c6/9343 …,2022-03-27T18:33:09.000Z,2,,2
NftBossAlert,@nftbossalert,"Collection:  Mutant   Ape   Yacht Club  Mutant   Ape   Yacht Club  was bought
Price: 45 ETH ($143026.65) 
Seller: Unnamed
Buyer: Kikkydina https:// 786628fea6478f785a6d7e704777c86a7c6/9343 …  #MAYC   #NFTSales   #NFTWhale",2022-03-27T18:33:03.000Z,1,1,2
NFT Whale Alert,@nftwhalealert,"Mutant   Ape   Yacht Club  9343 bought for Ξ45 ($142,912.35)
Avg Price: Ξ23.13
Rare Traits:
Mouth: M1 Bored Pipe - 0.96%
Fur: M1 Solid Gold - 0.41%
Clothes: M1 Leather Punk Jacket - 1.21%
Hat: M1 Prussian Helmet - 0.97% https:// 786628fea6478f785a6d7e704777c86a7c6/9343 …",2022-03-27T18:32:57.000Z,1,2,15
nanocube.io | NFT alerts #2,@nanocubealerts2,"Mutant   Ape   Yacht Club  #9343 sold for 45 ETH! ($143164.35)

-  https:// 786628fea6478f785a6d7e704777c86a7c6/9343 … -  https:// 60e4d786628fea6478f785a6d7e704777c86a7c6/9343 … Rarity  3221/18022 #mayc   #mutantape    #mutantapeclub   #nft   #nanocube",2022-03-27T18:32:52.000Z,,2,2
Trengible - Discover the nft trends,@Trengible," - Kikkydina just bought #14178 for 41.5 ETH ($131,902.36)

Collection:  Mutant   Ape   Yacht Club Date: 2022-03-27 18:30:39 (GMT 0)

Detail:  https:// ht-club/14178-0x60e4d786628fea6478f785a6d7e704777c86a7c6-14178 …",2022-03-27T18:32:22.000Z,1,,
NFT Whale Alert,@nftwhalealert,"Mutant   Ape   Yacht Club  7317 bought for Ξ45 ($142,912.35)
Avg Price: Ξ23.00
Rare Traits:
Clothes: M1 Tanktop - 1.76%
Fur: M1 Solid Gold - 0.41% https:// 786628fea6478f785a6d7e704777c86a7c6/7317 …",2022-03-27T18:32:20.000Z,1,1,5
NFT FLOOR PRICE UPDATES,@0xbotfather,"Featured Collection:  @TheLoomSociety Daily floor price update

Cryptopunks: 71.95Ξ (  0.07%)
Goons of Balatroon: 0.17Ξ (  0.65%)
Bored  Ape  YC: 107.17Ξ (  4.05%) Mutant   Ape   Yacht Club : 22.69Ξ (  -1.35%)
CLONE X  X TAKASHI MURAKAMI: 15.0Ξ (  0.13%)",2022-03-27T18:07:01.000Z,1,,
NFT Valuations Bot,@NFTValBot,"Top 20 collections market cap: 1. Bored  Ape   Yacht Club : Ξ1,372,815 | $4.37B
2. CryptoPunks: Ξ1,243,097 | $3.95B
3.  Mutant   Ape   Yacht Club : Ξ517,223 | $1.65B
4. CLONE X x TAKASHI MURAKAMI: Ξ466,487 | $1.48B
5. Chromie Squiggle: Ξ418,652 | $1.33B",2022-03-27T18:00:14.000Z,1,,
NFT Whale Alert,@nftwhalealert,"Hourly Top Volume
World of Women Galaxy: Ξ585.51 ($1,859,206.26) Mutant   Ape   Yacht Club : Ξ97.30 ($308,964.47)
MURI by Haus: Ξ69.73 ($221,428.77)
ETHTerrestrials: Ξ48.21 ($153,098.38)
CLONE X - X TAKASHI MURAKAMI: Ξ29.50 ($93,673.71)",2022-03-27T18:00:07.000Z,1,1,7
CryptoNerd,@VeryCryptoNerd,#NFT  Time! On this image you can see  Mutant   Ape   Yacht Club  stats. #mutant_ape_yacht_club    #opensea,2022-03-27T17:51:01.000Z,,,1
Trengible - Discover the nft trends,@Trengible," - 0xbeefbowl just bought #10390 for 23.99 ETH ($76,019.27)

Collection:  Mutant   Ape   Yacht Club Date: 2022-03-27 17:37:43 (GMT 0)

Detail:  https:// ht-club/10390-0x60e4d786628fea6478f785a6d7e704777c86a7c6-10390 …",2022-03-27T17:38:31.000Z,,,
NFT Monitor,@NFT_Monitor,  Mutant   Ape   Yacht Club  |  #MAYC   #NFT #10390 sold for 23.99 ETH (76.02K $)   https:// 786628fea6478f785a6d7e704777c86a7c6/10390 …,2022-03-27T17:37:58.000Z,,4,7
nanocube.io | NFT alerts #2,@nanocubealerts2,"Mutant   Ape   Yacht Club  #10390 sold for 23.99 ETH! ($76159.13)

-  https:// 786628fea6478f785a6d7e704777c86a7c6/10390 … -  https:// 60e4d786628fea6478f785a6d7e704777c86a7c6/10390 … Rarity  8891/18022 #mayc   #mutantape    #mutantapeclub   #nft   #nanocube",2022-03-27T17:37:48.000Z,,1,5
NFT Whale Alert｜We are hiring,@nftgobot," NFT Whale Trade Transfer: [ hotg12.eth] -> [rseung.eth] NFT:  Mutant   Ape   Yacht Club  #4373  https:// e4d786628fea6478f785a6d7e704777c86a7c6/4373 …  Price: 23 ETH ($73,135.14) Gas: 0.0114 ETH ($36.39) #MAYC",2022-03-27T17:31:49.000Z,,,
Trengible - Discover the nft trends,@Trengible," - freyavault3 just bought #20832 for 23.46 ETH ($74,339.81)

Collection:  Mutant   Ape   Yacht Club Date: 2022-03-27 17:25:33 (GMT 0)

Detail:  https:// ht-club/20832-0x60e4d786628fea6478f785a6d7e704777c86a7c6-20832 …",2022-03-27T17:26:17.000Z,,,
NftBossAlert,@nftbossalert,"Collection:  Mutant   Ape   Yacht Club  Mutant   Ape   Yacht Club  was bought
Price: 23.46 ETH ($74339.81) 
Seller: eric1538
Buyer: freyavault3 https:// 786628fea6478f785a6d7e704777c86a7c6/20832 …  #MAYC   #NFTSales   #NFTWhale",2022-03-27T17:26:04.000Z,,,2
